Movie_Name,IMDB_Rating,Year_Of_Release
The Shawshank Redemption,9.3,(1994)
The Godfather,9.2,(1972)
The Godfather: Part II,9,(1974)
The Dark Knight,9,(2008)
12 Angry Men,9,(1957)
Schindler's List,8.9,(1993)
The Lord of the Rings: The Return of the King,8.9,(2003)
Pulp Fiction,8.9,(1994)
"Il buono, il brutto, il cattivo",8.8,(1966)
Fight Club,8.8,(1999)
Joker,8.4,(2019)
The Lord of the Rings: The Fellowship of the Ring,8.8,(2001)
Forrest Gump,8.8,(1994)
Inception,8.8,(2010)
Star Wars: Episode V - The Empire Strikes Back,8.7,(1980)
The Lord of the Rings: The Two Towers,8.7,(2002)
The Matrix,8.7,(1999)
One Flew Over the Cuckoo's Nest,8.7,(1975)
Goodfellas,8.7,(1990)
Shichinin no samurai,8.6,(1954)
Se7en,8.6,(1995)
Cidade de Deus,8.6,(2002)
La vita è bella,8.6,(1997)
The Silence of the Lambs,8.6,(1991)
Star Wars,8.6,(1977)
It's a Wonderful Life,8.6,(1946)
Saving Private Ryan,8.6,(1998)
Sen to Chihiro no kamikakushi,8.6,(2001)
The Green Mile,8.6,(1999)
Léon,8.5,(1994)
Seppuku,8.6,(1962)
Interstellar,8.6,(2014)
The Usual Suspects,8.5,(1995)
The Lion King,8.5,(1994)
American History X,8.5,(1998)
Back to the Future,8.5,(1985)
The Pianist,8.5,(2002)
Modern Times,8.5,(1936)
Terminator 2: Judgment Day,8.5,(1991)
The Intouchables,8.5,(2011)
Psycho,8.5,(1960)
Gladiator,8.5,(2000)
City Lights,8.5,(1931)
The Departed,8.5,(2006)
Whiplash,8.5,(2014)
Once Upon a Time in the West,8.5,(1968)
The Prestige,8.5,(2006)
Avengers: Endgame,8.4,(2019)
Casablanca,8.5,(1942)
Hotaru no haka,8.5,(1988)
Rear Window,8.5,(1954)
Nuovo Cinema Paradiso,8.5,(1988)
Alien,8.4,(1979)
Raiders of the Lost Ark,8.4,(1981)
Memento,8.4,(2000)
Apocalypse Now,8.4,(1979)
The Great Dictator,8.4,(1940)
The Lives of Others,8.4,(2006)
Avengers: Infinity War,8.4,(2018)
Django Unchained,8.4,(2012)
Spider-Man: Into the Spider-Verse,8.4,(2018)
The Shining,8.4,(1980)
Paths of Glory,8.4,(1957)
WALL·E,8.4,(2008)
Sunset Blvd.,8.4,(1950)
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.4,(1964)
Mononoke-hime,8.4,(1997)
Oldeuboi,8.4,(2003)
Witness for the Prosecution,8.4,(1957)
The Dark Knight Rises,8.4,(2012)
Once Upon a Time in America,8.3,(1984)
Gisaengchung,8.6,(2019)
Aliens,8.3,(1986)
American Beauty,8.3,(1999)
Coco,8.4,(I) (2017)
Kimi no na wa.,8.4,(2016)
Braveheart,8.3,(1995)
Das Boot,8.3,(1981)
3 Idiots,8.4,(2009)
Taare Zameen Par,8.4,(2007)
Star Wars: Episode VI - Return of the Jedi,8.3,(1983)
Toy Story,8.3,(1995)
Reservoir Dogs,8.3,(1992)
Amadeus,8.3,(1984)
Dangal,8.4,(2016)
Good Will Hunting,8.3,(1997)
Inglourious Basterds,8.3,(2009)
M - Eine Stadt sucht einen Mörder,8.3,(1931)
Requiem for a Dream,8.3,(2000)
2001: A Space Odyssey,8.3,(1968)
Vertigo,8.3,(1958)
Eternal Sunshine of the Spotless Mind,8.3,(2004)
Citizen Kane,8.3,(1941)
Full Metal Jacket,8.3,(1987)
Jagten,8.3,(2012)
North by Northwest,8.3,(1959)
A Clockwork Orange,8.3,(1971)
Snatch,8.3,(2000)
Le fabuleux destin d'Amélie Poulain,8.3,(2001)
The Kid,8.3,(1921)
